,date,item
350,2021-01-08T19:55:28.809Z,Repeat
353,2021-01-08T21:30:32.777Z,Repeat
361,2021-01-08T20:00:59.012Z,Function
363,2021-01-08T21:32:19.029Z,Repeat
371,2021-01-08T19:34:22.689Z,Repeat
372,2021-01-08T20:25:39.045Z,Challenge
390,2021-01-08T20:18:44.667Z,Challenge
393,2021-01-08T20:16:33.004Z,Challenge
397,2021-01-08T20:35:52.584Z,Challenge
398,2021-01-08T16:36:28.013Z,Function
401,2021-01-08T20:17:23.593Z,Repeat
405,2021-01-08T19:47:37.130Z,FirstProgram
412,2021-01-08T20:21:59.742Z,Challenge
414,2021-01-08T19:55:08.532Z,Repeat
416,2021-01-08T20:08:02.069Z,Repeat
421,2021-01-08T19:59:50.826Z,Function
433,2021-01-08T17:32:34.147Z,Repeat
434,2021-01-08T20:26:36.746Z,Challenge
439,2021-01-08T21:59:20.132Z,Challenge
448,2021-01-08T20:27:07.851Z,Challenge
449,2021-01-08T20:03:23.378Z,Challenge
467,2021-01-08T20:11:17.770Z,Challenge
480,2021-01-08T19:58:06.547Z,Function
491,2021-01-08T20:27:11.055Z,Challenge
494,2021-01-08T20:32:02.285Z,Challenge
497,2021-01-08T11:03:48.516Z,Function
501,2021-01-08T18:38:56.070Z,ModifyMoves
510,2021-01-08T20:21:29.148Z,Combine
513,2021-01-08T20:22:08.932Z,Challenge
532,2021-01-08T20:01:17.224Z,Function
534,2021-01-08T18:01:43.495Z,Repeat
551,2021-01-08T17:55:37.673Z,Basic Commands
561,2021-01-08T20:26:12.853Z,Challenge
571,2021-01-08T20:00:27.114Z,Challenge
572,2021-01-08T20:07:58.958Z,Challenge
584,2021-01-08T20:18:48.665Z,Challenge
585,2021-01-08T22:00:51.172Z,Challenge
591,2021-01-08T20:27:55.691Z,Challenge
594,2021-01-08T18:06:42.863Z,dashboard
598,2021-01-08T11:12:38.470Z,IntroExplainEditor
599,2021-01-08T18:32:06.757Z,Challenge
600,2021-01-08T20:07:11.494Z,Challenge
606,2021-01-08T20:04:54.931Z,Challenge
614,2021-01-08T20:26:30.395Z,Challenge
631,2021-01-08T20:16:40.715Z,Challenge
642,2021-01-08T20:27:46.375Z,Challenge
650,2021-01-08T10:49:22.418Z,Function
660,2021-01-08T19:34:37.478Z,Challenge
661,2021-01-08T18:41:40.285Z,Challenge
670,2021-01-08T22:03:08.256Z,Challenge
682,2021-01-08T19:52:15.337Z,Basic Commands
697,2021-01-08T19:53:27.163Z,IntroExplainTasks
698,2021-01-08T20:02:43.172Z,Basic Commands
702,2021-01-08T18:03:05.022Z,Repeat
703,2021-01-08T20:03:16.082Z,Challenge
727,2021-01-08T20:31:21.570Z,Challenge
732,2021-01-08T11:14:35.242Z,Function
735,2021-01-08T20:11:11.340Z,Repeat
739,2021-01-08T18:38:54.527Z,MeetKarel
745,2021-01-08T21:56:45.638Z,Challenge
754,2021-01-08T21:28:49.356Z,Function
771,2021-01-08T18:06:03.660Z,Repeat
772,2021-01-08T18:10:10.174Z,MeetKarel
784,2021-01-08T20:32:10.071Z,Challenge
791,2021-01-08T20:32:13.548Z,Challenge
806,2021-01-08T20:31:19.599Z,Challenge
841,2021-01-08T22:00:27.984Z,Challenge
848,2021-01-08T19:54:10.103Z,ModifyMoves
851,2021-01-08T20:27:49.576Z,Challenge
854,2021-01-08T19:58:34.972Z,Basic Commands
871,2021-01-08T20:37:03.265Z,Challenge
873,2021-01-08T18:34:07.789Z,Function
879,2021-01-08T18:36:41.607Z,Repeat
887,2021-01-08T20:07:11.896Z,Challenge
903,2021-01-08T20:11:17.759Z,Challenge
910,2021-01-08T19:47:42.750Z,ModifyMoves
920,2021-01-08T19:56:04.897Z,Repeat
929,2021-01-08T21:26:50.594Z,Basic Commands
938,2021-01-08T21:27:35.307Z,Function
941,2021-01-08T21:57:01.452Z,Challenge
946,2021-01-08T20:34:28.409Z,Challenge
957,2021-01-08T10:36:09.307Z,Function
961,2021-01-08T20:09:24.414Z,Challenge
964,2021-01-08T18:03:27.704Z,Repeat
965,2021-01-08T20:11:09.183Z,Challenge
982,2021-01-08T20:31:54.806Z,Challenge
987,2021-01-08T19:50:35.477Z,KarelCommandsPickStone
992,2021-01-08T11:13:43.014Z,Basic Commands
996,2021-01-08T20:08:07.828Z,Challenge
1032,2021-01-08T20:14:10.256Z,Challenge
1037,2021-01-08T20:15:14.437Z,Challenge
1041,2021-01-08T19:53:10.569Z,ModifyMoves
1048,2021-01-08T20:17:29.849Z,Repeat
1064,2021-01-08T10:48:08.234Z,Function
1065,2021-01-08T21:32:43.361Z,Repeat
1075,2021-01-08T19:47:00.989Z,
1077,2021-01-08T18:43:43.986Z,Combine
1089,2021-01-08T18:44:10.560Z,Challenge
1098,2021-01-08T20:07:22.023Z,Challenge
1101,2021-01-08T19:19:12.024Z,IntroExplainEditor
1106,2021-01-08T16:34:09.439Z,PreDone
1108,2021-01-08T20:38:10.925Z,Challenge
1112,2021-01-08T19:54:48.065Z,Basic Commands
1115,2021-01-08T18:31:26.438Z,KarelCommandsMove
1122,2021-01-08T20:27:07.916Z,Challenge
1130,2021-01-08T21:14:43.274Z,
1146,2021-01-08T20:31:01.116Z,Challenge
1167,2021-01-08T18:31:28.395Z,PreDone
1170,2021-01-08T17:54:00.001Z,Repeat
1171,2021-01-08T20:02:58.799Z,Challenge
1172,2021-01-08T17:36:12.514Z,Basic Commands
1173,2021-01-08T19:55:51.750Z,Repeat
1187,2021-01-08T18:10:14.254Z,ModifyMoves
1188,2021-01-08T20:02:53.479Z,Challenge
1190,2021-01-08T11:03:39.018Z,Function
1193,2021-01-08T19:56:44.494Z,PreDone
1196,2021-01-08T11:00:49.473Z,Function
1215,2021-01-08T20:00:39.808Z,Function
1220,2021-01-08T19:52:56.718Z,ModifyMoves
1226,2021-01-08T20:31:06.622Z,Challenge
1231,2021-01-08T20:27:36.900Z,Challenge
1234,2021-01-08T20:26:30.407Z,Challenge
1235,2021-01-08T20:27:11.072Z,Challenge
1245,2021-01-08T20:01:33.012Z,Function
1249,2021-01-08T21:32:37.090Z,Repeat
1251,2021-01-08T18:03:05.047Z,Repeat
1257,2021-01-08T20:31:26.470Z,Challenge
1261,2021-01-08T20:30:58.729Z,Challenge
1270,2021-01-08T21:31:20.597Z,Repeat
1277,2021-01-08T20:19:53.550Z,Challenge
1282,2021-01-08T19:56:30.622Z,Basic Commands
1283,2021-01-08T20:07:16.430Z,Challenge
1316,2021-01-08T20:13:15.489Z,Challenge
1345,2021-01-08T20:06:41.245Z,Challenge
1351,2021-01-08T20:00:23.933Z,Challenge
1357,2021-01-08T20:11:15.686Z,Challenge
1364,2021-01-08T20:17:12.533Z,Challenge
1366,2021-01-08T20:18:01.201Z,Repeat
1367,2021-01-08T20:00:26.528Z,Repeat
1387,2021-01-08T20:31:52.969Z,Challenge
1393,2021-01-08T19:34:35.790Z,Challenge
1404,2021-01-08T21:54:33.959Z,Challenge
1411,2021-01-08T20:15:25.595Z,Challenge
1412,2021-01-08T20:09:06.585Z,Challenge
1413,2021-01-08T20:27:50.146Z,Challenge
1418,2021-01-08T20:18:57.758Z,Challenge
1424,2021-01-08T20:31:26.457Z,Challenge
1431,2021-01-08T20:30:43.774Z,Challenge
1440,2021-01-08T21:57:30.699Z,Challenge
1443,2021-01-08T20:15:23.524Z,Challenge
1473,2021-01-08T20:07:48.184Z,Challenge
1481,2021-01-08T22:01:43.513Z,Challenge
1492,2021-01-08T19:33:46.836Z,Basic Commands
1496,2021-01-08T21:27:44.466Z,Function
1500,2021-01-08T21:56:43.224Z,Challenge
1503,2021-01-08T11:00:14.656Z,Function
1507,2021-01-08T20:06:03.078Z,Challenge
1510,2021-01-08T21:59:03.391Z,Challenge
1512,2021-01-08T20:18:55.788Z,Challenge
1521,2021-01-08T18:02:21.053Z,Repeat
1533,2021-01-08T20:07:16.414Z,Challenge
1536,2021-01-08T20:09:38.361Z,Challenge
1539,2021-01-08T20:31:08.206Z,Challenge
1540,2021-01-08T20:19:53.594Z,Challenge
1546,2021-01-08T20:13:22.527Z,Challenge
1551,2021-01-08T19:57:24.868Z,Basic Commands
1559,2021-01-08T22:01:52.053Z,Challenge
1561,2021-01-08T20:03:16.074Z,Challenge
1562,2021-01-08T17:37:02.772Z,Repeat
1575,2021-01-08T18:02:23.372Z,Repeat
1578,2021-01-08T18:41:38.971Z,Challenge
1583,2021-01-08T19:53:14.523Z,ModifyMoves
1594,2021-01-08T18:38:54.672Z,KarelCommandsMove
1597,2021-01-08T19:57:25.619Z,Combine
1606,2021-01-08T21:49:16.805Z,Challenge
1608,2021-01-08T18:34:42.386Z,Repeat
1618,2021-01-08T18:01:59.653Z,Repeat
1620,2021-01-08T20:12:25.286Z,Challenge
1638,2021-01-08T11:01:02.920Z,Function
1657,2021-01-08T20:09:27.084Z,Challenge
1660,2021-01-08T20:21:14.801Z,Challenge
1663,2021-01-08T20:00:48.794Z,Challenge
1665,2021-01-08T19:19:32.800Z,Basic Commands
1687,2021-01-08T20:34:11.252Z,Challenge
1691,2021-01-08T18:09:04.481Z,ModifyMoves
1697,2021-01-08T18:41:17.621Z,Combine
1727,2021-01-08T21:51:11.015Z,Challenge
1735,2021-01-08T20:21:42.199Z,Combine
1738,2021-01-08T20:26:40.729Z,Challenge
1739,2021-01-08T18:33:06.858Z,ModifyMoves
1743,2021-01-08T20:37:52.660Z,Challenge
1767,2021-01-08T21:50:16.571Z,Challenge
1769,2021-01-08T18:03:03.326Z,Repeat
1783,2021-01-08T20:35:32.472Z,Challenge
1791,2021-01-08T20:32:33.185Z,Challenge
1800,2021-01-08T21:57:54.005Z,Challenge
1804,2021-01-08T20:16:08.732Z,Challenge
1809,2021-01-08T17:35:41.812Z,IntroExplainTasks
1813,2021-01-08T18:14:25.988Z,IntroExplainTasks
1821,2021-01-08T20:31:45.147Z,Challenge
1824,2021-01-08T20:01:36.773Z,Repeat
1831,2021-01-08T20:32:11.919Z,Challenge
1838,2021-01-08T20:33:02.530Z,Challenge
1842,2021-01-08T20:28:14.397Z,Challenge
1847,2021-01-08T17:44:28.104Z,ModifyMoves
1853,2021-01-08T11:06:09.894Z,Function
1856,2021-01-08T20:32:35.779Z,Challenge
1859,2021-01-08T19:47:56.585Z,Basic Commands
1865,2021-01-08T20:16:23.618Z,Repeat
1878,2021-01-08T20:16:29.067Z,Challenge
1880,2021-01-08T18:30:16.256Z,FirstProgram
1890,2021-01-08T20:31:05.001Z,Challenge
1901,2021-01-08T19:19:26.365Z,Basic Commands
1903,2021-01-08T19:53:10.012Z,Function
1906,2021-01-08T17:44:59.803Z,Function
1908,2021-01-08T17:36:12.528Z,Basic Commands
1913,2021-01-08T20:13:15.501Z,Challenge
1917,2021-01-08T20:30:51.951Z,Challenge
1924,2021-01-08T18:01:30.395Z,Repeat
1940,2021-01-08T20:14:51.450Z,Challenge
1948,2021-01-08T18:34:22.424Z,Repeat
1955,2021-01-08T20:06:03.868Z,Challenge
1964,2021-01-08T17:32:37.221Z,Repeat
1973,2021-01-08T18:31:33.533Z,Basic Commands
1976,2021-01-08T10:38:00.942Z,Function
1981,2021-01-08T20:03:08.725Z,Challenge
1999,2021-01-08T11:00:24.686Z,Function
2002,2021-01-08T21:49:59.090Z,Challenge
2003,2021-01-08T19:51:07.166Z,ModifyMoves
2010,2021-01-08T18:14:43.664Z,IntroExplainTasks
2020,2021-01-08T21:24:55.721Z,ModifyMoves
2028,2021-01-08T20:21:12.611Z,Challenge
2034,2021-01-08T21:59:46.237Z,Challenge
2042,2021-01-08T20:18:59.075Z,Combine
2043,2021-01-08T19:57:23.322Z,Basic Commands
2044,2021-01-08T19:53:20.001Z,ModifyMoves
2047,2021-01-08T20:27:59.970Z,Challenge
2063,2021-01-08T20:07:11.489Z,Challenge
2070,2021-01-08T20:35:23.362Z,Challenge
2077,2021-01-08T18:39:20.820Z,Function
2079,2021-01-08T21:49:39.096Z,Challenge
2080,2021-01-08T20:03:29.104Z,Challenge
2091,2021-01-08T20:09:16.353Z,Challenge
2097,2021-01-08T11:23:19.831Z,Function
2102,2021-01-08T20:07:46.954Z,Challenge
2103,2021-01-08T20:13:20.941Z,Repeat
2104,2021-01-08T20:30:49.659Z,Challenge
2110,2021-01-08T21:54:10.967Z,Challenge
2111,2021-01-08T17:57:48.586Z,Basic Commands
2115,2021-01-08T19:51:15.280Z,IntroExplainTasks
2120,2021-01-08T11:26:52.439Z,Function
2121,2021-01-08T20:26:59.762Z,Challenge
2122,2021-01-08T21:57:50.908Z,Challenge
2129,2021-01-08T20:07:16.411Z,Challenge
2137,2021-01-08T18:38:32.470Z,Combine
2140,2021-01-08T19:55:21.518Z,Basic Commands
2147,2021-01-08T19:58:18.385Z,Basic Commands
2151,2021-01-08T17:33:00.670Z,Combine
2152,2021-01-08T18:31:26.092Z,PreIntro
2159,2021-01-08T19:48:01.186Z,Basic Commands
2161,2021-01-08T20:08:52.180Z,Challenge
2167,2021-01-08T18:05:35.327Z,Repeat
2176,2021-01-08T20:07:46.522Z,Challenge
2181,2021-01-08T20:05:48.728Z,Challenge
2192,2021-01-08T19:58:51.938Z,Function
2197,2021-01-08T19:54:44.047Z,Basic Commands
2199,2021-01-08T20:31:33.497Z,Challenge
2201,2021-01-08T17:32:58.985Z,Combine
2202,2021-01-08T18:41:20.791Z,Combine
2215,2021-01-08T20:07:50.103Z,Challenge
2217,2021-01-08T20:05:21.581Z,Challenge
2219,2021-01-08T19:51:59.667Z,Basic Commands
2226,2021-01-08T20:16:34.600Z,Challenge
2237,2021-01-08T20:02:00.958Z,Function
2247,2021-01-08T19:56:59.969Z,Repeat
2249,2021-01-08T18:33:30.440Z,Basic Commands
2253,2021-01-08T20:03:19.873Z,Challenge
2256,2021-01-08T20:26:21.912Z,Challenge
2274,2021-01-08T17:33:00.762Z,Combine
2276,2021-01-08T20:07:24.771Z,Repeat
2286,2021-01-08T20:02:07.557Z,Function
2287,2021-01-08T18:42:16.196Z,Combine
2288,2021-01-08T20:12:40.404Z,Challenge
2297,2021-01-08T20:08:50.392Z,Challenge
2307,2021-01-08T20:37:08.606Z,Challenge
2309,2021-01-08T20:23:38.350Z,Challenge
2312,2021-01-08T19:59:23.023Z,Function
2315,2021-01-08T20:07:48.190Z,Challenge
2317,2021-01-08T18:02:43.016Z,Repeat
2326,2021-01-08T11:23:00.575Z,Function
2331,2021-01-08T19:51:49.248Z,Basic Commands
2336,2021-01-08T19:53:04.028Z,FirstProgram
2337,2021-01-08T10:47:41.877Z,Function
2347,2021-01-08T10:23:28.700Z,Function
2349,2021-01-08T19:57:21.739Z,Basic Commands
2351,2021-01-08T20:09:32.469Z,Challenge
2362,2021-01-08T20:09:36.750Z,Challenge
2363,2021-01-08T20:30:49.671Z,Challenge
2368,2021-01-08T20:08:50.430Z,Challenge
2370,2021-01-08T11:13:58.787Z,Basic Commands
2372,2021-01-08T19:55:34.090Z,Repeat
2376,2021-01-08T19:19:38.248Z,Basic Commands
2379,2021-01-08T20:21:50.604Z,Combine
2390,2021-01-08T20:09:46.357Z,Challenge
2397,2021-01-08T16:28:55.186Z,Function
2398,2021-01-08T21:49:23.168Z,Challenge
2400,2021-01-08T20:17:19.924Z,Repeat
2401,2021-01-08T11:02:29.666Z,Function
2405,2021-01-08T20:05:53.462Z,Challenge
2409,2021-01-08T19:55:12.736Z,Repeat
2413,2021-01-08T19:55:26.681Z,Repeat
2416,2021-01-08T20:02:44.880Z,Basic Commands
2418,2021-01-08T20:17:01.109Z,Challenge
2422,2021-01-08T20:19:56.155Z,Challenge
2439,2021-01-08T20:30:58.734Z,Challenge
2442,2021-01-08T18:32:31.677Z,MeetKarel
2445,2021-01-08T20:03:14.737Z,Challenge
2451,2021-01-08T18:41:10.927Z,Combine
2455,2021-01-08T20:09:11.229Z,Challenge
2465,2021-01-08T20:27:48.844Z,Challenge
2477,2021-01-08T20:26:24.109Z,Challenge
2480,2021-01-08T19:55:13.637Z,Repeat
2485,2021-01-08T20:02:47.676Z,Function
2491,2021-01-08T20:09:36.306Z,Repeat
2499,2021-01-08T17:35:38.395Z,KarelCommandsPlaceStone
2515,2021-01-08T17:35:34.817Z,
2519,2021-01-08T16:31:04.546Z,Function
2529,2021-01-08T20:06:03.088Z,Challenge
2543,2021-01-08T17:37:39.750Z,CommandsA
2545,2021-01-08T18:30:20.796Z,
2546,2021-01-08T20:00:28.066Z,Function
2553,2021-01-08T18:13:14.807Z,PreDone
2557,2021-01-08T20:16:27.698Z,Challenge
2559,2021-01-08T20:19:39.396Z,Challenge
2570,2021-01-08T21:51:39.597Z,Challenge
2575,2021-01-08T17:44:57.455Z,Function
2582,2021-01-08T20:06:40.262Z,Challenge
2591,2021-01-08T21:53:32.257Z,Challenge
2598,2021-01-08T17:33:03.514Z,Combine
2601,2021-01-08T20:28:04.779Z,Challenge
2610,2021-01-08T20:22:15.834Z,Combine
2613,2021-01-08T20:06:06.949Z,Challenge
2619,2021-01-08T18:38:06.813Z,Combine
2622,2021-01-08T19:34:23.856Z,Repeat
2626,2021-01-08T20:11:14.623Z,Challenge
2645,2021-01-08T20:14:25.442Z,Challenge
2661,2021-01-08T20:05:48.724Z,Challenge
2664,2021-01-08T20:03:14.733Z,Challenge
2667,2021-01-08T20:15:09.144Z,Challenge
2686,2021-01-08T21:57:23.138Z,Challenge
2687,2021-01-08T20:07:50.282Z,Repeat
2699,2021-01-08T20:00:07.696Z,Challenge
2704,2021-01-08T17:31:44.293Z,Basic Commands
2707,2021-01-08T19:58:02.748Z,Function
2711,2021-01-08T20:32:12.580Z,Challenge
2715,2021-01-08T19:19:26.379Z,Basic Commands
2724,2021-01-08T20:19:59.836Z,Challenge
2727,2021-01-08T20:27:49.749Z,Challenge
2744,2021-01-08T21:32:38.380Z,Repeat
2748,2021-01-08T19:53:50.805Z,ModifyMoves
2761,2021-01-08T20:27:08.090Z,Challenge
2766,2021-01-08T20:27:59.974Z,Challenge
2768,2021-01-08T21:30:11.815Z,Repeat
2774,2021-01-08T20:32:16.142Z,Challenge
2776,2021-01-08T18:02:08.171Z,Repeat
2778,2021-01-08T20:13:34.561Z,Repeat
2784,2021-01-08T20:36:44.663Z,Challenge
2797,2021-01-08T19:55:49.840Z,Repeat
2807,2021-01-08T21:54:27.891Z,Challenge
2810,2021-01-08T20:17:22.027Z,Repeat
2816,2021-01-08T18:43:28.888Z,Combine
2821,2021-01-08T20:03:59.116Z,Combine
2823,2021-01-08T20:10:12.140Z,Repeat
2826,2021-01-08T21:26:46.108Z,Basic Commands
2828,2021-01-08T20:23:00.978Z,Challenge
2831,2021-01-08T10:22:57.084Z,Basic Commands
2832,2021-01-08T20:27:08.131Z,Challenge
2836,2021-01-08T19:58:34.579Z,Basic Commands
2846,2021-01-08T20:03:50.320Z,Function
2847,2021-01-08T20:15:21.504Z,Challenge
2853,2021-01-08T17:36:22.327Z,Basic Commands
2859,2021-01-08T21:30:24.716Z,Repeat
2863,2021-01-08T20:16:35.490Z,Repeat
2874,2021-01-08T18:41:12.126Z,Combine
2875,2021-01-08T19:57:42.009Z,Basic Commands
2886,2021-01-08T11:00:15.735Z,Function
2889,2021-01-08T19:34:22.041Z,Repeat
2898,2021-01-08T21:52:50.343Z,Challenge
2904,2021-01-08T20:03:07.353Z,Challenge
2910,2021-01-08T20:13:13.439Z,Challenge
2916,2021-01-08T20:02:40.432Z,Function
2920,2021-01-08T20:30:51.970Z,Challenge
2921,2021-01-08T20:16:20.712Z,Repeat
2925,2021-01-08T21:30:57.790Z,Repeat
2940,2021-01-08T20:16:29.534Z,Challenge
2947,2021-01-08T18:41:22.355Z,Combine
2950,2021-01-08T21:31:24.422Z,Repeat
2952,2021-01-08T20:01:37.564Z,Repeat
2953,2021-01-08T19:58:04.953Z,Basic Commands
2954,2021-01-08T18:36:23.129Z,Repeat
2957,2021-01-08T20:31:39.240Z,Challenge
2960,2021-01-08T20:26:08.110Z,Challenge
2972,2021-01-08T18:36:43.171Z,Repeat
2976,2021-01-08T19:55:50.628Z,Repeat
2989,2021-01-08T21:59:46.248Z,Challenge
2993,2021-01-08T19:53:24.526Z,PreDone
2995,2021-01-08T20:02:31.796Z,Basic Commands
3009,2021-01-08T20:31:35.238Z,Challenge
3012,2021-01-08T18:18:20.639Z,Challenge
3014,2021-01-08T21:54:36.059Z,Challenge
3024,2021-01-08T20:00:06.321Z,Challenge
3035,2021-01-08T20:31:43.682Z,Challenge
3046,2021-01-08T20:27:36.936Z,Challenge
3051,2021-01-08T20:04:17.220Z,Function
3052,2021-01-08T20:22:18.986Z,Combine
3062,2021-01-08T19:57:19.629Z,Combine
3081,2021-01-08T20:08:07.855Z,Challenge
3102,2021-01-08T11:26:52.380Z,Function
3128,2021-01-08T20:27:48.784Z,Challenge
3129,2021-01-08T17:36:05.682Z,Basic Commands
3134,2021-01-08T18:03:04.984Z,Repeat
3138,2021-01-08T20:33:06.062Z,Challenge
3144,2021-01-08T20:11:48.054Z,Challenge
3145,2021-01-08T19:54:55.731Z,KarelCommandsPickStone
3147,2021-01-08T19:53:54.168Z,Repeat
3149,2021-01-08T17:37:04.491Z,Repeat
3155,2021-01-08T20:04:33.354Z,Combine
3159,2021-01-08T20:12:30.576Z,Challenge
3178,2021-01-08T21:57:05.089Z,Challenge
3189,2021-01-08T20:09:06.602Z,Challenge
3201,2021-01-08T19:55:07.946Z,Basic Commands
3210,2021-01-08T18:30:16.702Z,ModifyMoves
3223,2021-01-08T20:39:59.575Z,Challenge
3227,2021-01-08T19:18:20.534Z,
3231,2021-01-08T19:18:39.916Z,KarelCommandsPickStone
3232,2021-01-08T21:27:35.253Z,Function
3240,2021-01-08T21:49:38.152Z,Challenge
3243,2021-01-08T20:16:51.496Z,Repeat
3256,2021-01-08T19:58:47.699Z,Combine
3257,2021-01-08T20:07:45.590Z,Challenge
3271,2021-01-08T21:31:34.379Z,Repeat
3277,2021-01-08T20:31:43.694Z,Challenge
3291,2021-01-08T20:19:14.773Z,Challenge
3292,2021-01-08T20:15:02.930Z,Repeat
3309,2021-01-08T20:05:50.249Z,Challenge
3311,2021-01-08T22:00:30.574Z,Challenge
3313,2021-01-08T17:31:46.018Z,Basic Commands
3314,2021-01-08T19:55:06.305Z,Repeat
3320,2021-01-08T20:26:03.060Z,Challenge
3322,2021-01-08T20:31:42.156Z,Challenge
3325,2021-01-08T20:30:15.389Z,Challenge
3338,2021-01-08T20:13:13.683Z,Challenge
3343,2021-01-08T20:06:38.103Z,Challenge
3344,2021-01-08T20:04:42.822Z,Combine
3346,2021-01-08T10:45:35.433Z,Function
3358,2021-01-08T19:58:33.092Z,Basic Commands
3362,2021-01-08T21:31:58.043Z,Repeat
3363,2021-01-08T19:19:20.019Z,Basic Commands
3365,2021-01-08T19:51:39.157Z,KarelCommandsTurnLeft
3368,2021-01-08T20:27:08.000Z,Challenge
3369,2021-01-08T20:34:18.594Z,Challenge
3373,2021-01-08T21:59:41.758Z,Challenge
3376,2021-01-08T19:50:57.289Z,
3384,2021-01-08T20:13:22.520Z,Challenge
3385,2021-01-08T21:57:50.903Z,Challenge
3387,2021-01-08T20:13:23.427Z,Challenge
3389,2021-01-08T21:58:10.420Z,Challenge
3391,2021-01-08T19:32:10.332Z,KarelCommandsTurnLeft
3392,2021-01-08T20:09:44.436Z,Challenge
3393,2021-01-08T20:10:27.935Z,Challenge
3410,2021-01-08T20:27:40.782Z,Challenge
3415,2021-01-08T20:00:23.229Z,Challenge
3422,2021-01-08T21:31:29.428Z,Repeat
3424,2021-01-08T20:16:28.544Z,Challenge
3429,2021-01-08T20:13:13.457Z,Challenge
3430,2021-01-08T20:06:41.213Z,Challenge
3437,2021-01-08T19:57:17.142Z,Repeat
3439,2021-01-08T17:32:38.372Z,Repeat
3446,2021-01-08T20:02:22.031Z,Function
3464,2021-01-08T20:31:22.749Z,Challenge
3468,2021-01-08T19:52:13.714Z,Basic Commands
3472,2021-01-08T20:27:59.967Z,Challenge
3476,2021-01-08T18:43:11.957Z,Combine
3492,2021-01-08T11:12:40.844Z,Basic Commands
3504,2021-01-08T21:56:41.585Z,Challenge
3507,2021-01-08T10:36:15.449Z,Function
3517,2021-01-08T19:54:11.442Z,PreDone
3518,2021-01-08T19:51:44.627Z,MeetKarel
3526,2021-01-08T20:37:40.347Z,Challenge
3530,2021-01-08T20:04:33.389Z,Combine
3536,2021-01-08T21:59:17.007Z,Challenge
3555,2021-01-08T19:47:57.056Z,Basic Commands
3557,2021-01-08T20:13:13.719Z,Challenge
3560,2021-01-08T20:08:52.541Z,Challenge
3571,2021-01-08T20:08:22.296Z,Repeat
3573,2021-01-08T18:40:49.993Z,Combine
3583,2021-01-08T18:36:17.698Z,Repeat
3594,2021-01-08T10:45:36.622Z,Function
3595,2021-01-08T20:16:10.860Z,Repeat
3607,2021-01-08T17:33:10.093Z,Combine
3612,2021-01-08T20:09:16.383Z,Challenge
3614,2021-01-08T21:31:13.479Z,Repeat
3618,2021-01-08T20:04:40.118Z,Combine
3620,2021-01-08T20:28:25.353Z,Challenge
3621,2021-01-08T20:14:24.144Z,Challenge
3622,2021-01-08T20:04:45.318Z,Combine
3625,2021-01-08T18:39:13.790Z,Combine
3631,2021-01-08T18:33:04.494Z,ModifyMoves
3636,2021-01-08T20:02:42.404Z,Challenge
3638,2021-01-08T17:35:57.687Z,ModifyMoves
3644,2021-01-08T20:31:57.877Z,Challenge
3648,2021-01-08T19:50:33.291Z,KarelCommandsTurnLeft
3650,2021-01-08T20:21:12.146Z,Challenge
3651,2021-01-08T20:21:18.390Z,Challenge
3657,2021-01-08T20:17:22.014Z,Repeat
3663,2021-01-08T20:15:27.630Z,Challenge
3666,2021-01-08T18:30:24.846Z,Basic Commands
3674,2021-01-08T18:30:15.103Z,KarelCommandsPickStone
