,sessionId,userId,item,data
64,Prolific Jan2021,5fc0c541c266bd597b286e98,Repeat,12.0
65,Prolific Jan2021,5c44ad201ddd660001ca00b0,Combine,3.0
66,Prolific Jan2021,5eedb69308f7161ee954279d,Function,
67,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Repeat,12.0
68,Prolific Jan2021,5c102d91e32f860001651a93,Combine,
69,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Function,
70,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Repeat,
71,Prolific Jan2021,5efb2cae4187a504713a4081,Function,
72,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Function,
73,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Function,
74,Prolific Jan2021,5efb2cae4187a504713a4081,Repeat,
75,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Repeat,3.0
76,Prolific Jan2021,5f043ab655b1f267b94176b4,Combine,12.0
77,Prolific Jan2021,5c28efb626e55d0001a685b1,Repeat,9.0
78,Prolific Jan2021,5c102d91e32f860001651a93,Challenge,6.0
79,Prolific Jan2021,5cfd119645e1a20001883ee6,Repeat,24.0
80,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Repeat,15.0
81,Prolific Jan2021,5fc0c541c266bd597b286e98,Combine,3.0
82,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Combine,
83,Prolific Jan2021,5c7fb04093cdce00160adf49,Repeat,48.0
84,Prolific Jan2021,5fc3df4c86fa277559d373c2,Combine,3.0
85,Prolific Jan2021,5c44ad201ddd660001ca00b0,Challenge,
86,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Combine,6.0
87,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Combine,
88,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Repeat,6.0
89,Prolific Jan2021,5efb2cae4187a504713a4081,Combine,12.0
90,Prolific Jan2021,5f248b7b1bde03086270bd37,Combine,9.0
91,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Challenge,27.0
92,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Challenge,12.0
93,Prolific Jan2021,5fc0c541c266bd597b286e98,Challenge,21.0
94,Prolific Jan2021,5eedb69308f7161ee954279d,Repeat,18.0
95,Prolific Jan2021,5fc3df4c86fa277559d373c2,Challenge,6.0
96,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Combine,6.0
97,Prolific Jan2021,5f043ab655b1f267b94176b4,Challenge,24.0
98,Prolific Jan2021,5efb2cae4187a504713a4081,Challenge,
99,Prolific Jan2021,5de631043cf27959fe70269c,Basic Commands,3.0
100,Prolific Jan2021,5de631043cf27959fe70269c,Function,
101,Prolific Jan2021,5b914a5f02a76000015c72d4,Basic Commands,
102,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Challenge,18.0
103,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Combine,
104,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Combine,12.0
105,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Basic Commands,
106,Prolific Jan2021,5de631043cf27959fe70269c,Repeat,6.0
107,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Function,
108,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Challenge,15.0
109,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Repeat,3.0
110,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Challenge,
111,Prolific Jan2021,5b914a5f02a76000015c72d4,Function,
112,Prolific Jan2021,5f248b7b1bde03086270bd37,Challenge,9.0
113,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Combine,21.0
114,Prolific Jan2021,5cfd119645e1a20001883ee6,Combine,9.0
115,Prolific Jan2021,5de631043cf27959fe70269c,Combine,
116,Prolific Jan2021,5c7fb04093cdce00160adf49,Combine,21.0
117,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Challenge,36.0
118,Prolific Jan2021,5de631043cf27959fe70269c,Challenge,9.0
119,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Basic Commands,9.0
120,Prolific Jan2021,5b914a5f02a76000015c72d4,Repeat,
121,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Basic Commands,
122,Prolific Jan2021,5eedb69308f7161ee954279d,Combine,
123,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Function,
124,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Function,
125,Prolific Jan2021,5dd5105a82569a4c04723f7e,Basic Commands,
126,Prolific Jan2021,5cfd119645e1a20001883ee6,Challenge,15.0
127,Prolific Jan2021,5dd5105a82569a4c04723f7e,Function,
128,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Repeat,15.0
129,Prolific Jan2021,5dd5105a82569a4c04723f7e,Repeat,9.0
130,Prolific Jan2021,5eedb69308f7161ee954279d,Challenge,
131,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Combine,24.0
132,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Repeat,3.0
133,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Challenge,9.0
134,Prolific Jan2021,5c7fb04093cdce00160adf49,Challenge,27.0
135,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Combine,3.0
136,Prolific Jan2021,5dd5105a82569a4c04723f7e,Combine,3.0
137,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Repeat,138.0
138,Prolific Jan2021,5dd5105a82569a4c04723f7e,Challenge,9.0
139,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Challenge,36.0
140,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Challenge,12.0
141,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Combine,27.0
142,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Challenge,30.0
143,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Combine,36.0
144,Prolific Jan2021,5daec370e4688e00142ca236,Basic Commands,
145,Prolific Jan2021,5daec370e4688e00142ca236,Function,
146,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Challenge,45.0
147,Prolific Jan2021,5daec370e4688e00142ca236,Repeat,27.0
148,Prolific Jan2021,5daec370e4688e00142ca236,Combine,21.0
149,Prolific Jan2021,5daec370e4688e00142ca236,Challenge,30.0
