StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q6,Q13,Q14,Q1,Q5,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q12,userIdKarel
1/9/21 3:51,1/9/21 3:53,IP Address,89.180.53.180,100,105,TRUE,1/9/21 3:53,R_3CJILjP98Mwjf1r,,,,,41.42799377,-8.67250061,anonymous,EN,A lot,Very demanding,4 problems,"I was trying to do it without any functions, and I had no time",I have programmed before.,3,3,4,1,5,2,,5efb2cae4187a504713a4081
1/9/21 3:51,1/9/21 3:53,IP Address,187.190.91.9,100,81,TRUE,1/9/21 3:53,R_3JdUQj4HxeudGqh,,,,,24.54800415,-107.4003983,anonymous,EN,A lot,Very demanding,4 problems,"I put one ""turn left"" more than it was needed, and I didn't have time to correct it.",I have programmed before.,2,2,2,1,3,1,,5b80b3ba16aa4400016a75ef
1/9/21 3:52,1/9/21 3:53,IP Address,5.81.200.239,100,59,TRUE,1/9/21 3:53,R_2Em0XVTHgd6Ot3j,,,,,52.67199707,-1.343795776,anonymous,EN,A lot,Moderately demanding,4 problems,completing irregular patterns,I have never programmed before.,,,,,,,,5fc3df4c86fa277559d373c2
1/9/21 3:53,1/9/21 3:53,IP Address,93.190.37.99,100,34,TRUE,1/9/21 3:53,R_3fdthgOcvmfpR9y,,,,,51.96000671,20.15220642,anonymous,EN,A great deal,Moderately demanding,All 5 problems,,I have never programmed before.,,,,,,,,5f248b7b1bde03086270bd37
1/9/21 3:53,1/9/21 3:54,IP Address,151.55.150.28,100,64,TRUE,1/9/21 3:54,R_ex7eOeMc0qnkVZT,,,,,45.66279602,9.62890625,anonymous,EN,A lot,Slightly demanding,All 5 problems,,I have programmed before.,2,3,3,1,1,2,,5f043ab655b1f267b94176b4
1/9/21 3:54,1/9/21 3:55,IP Address,80.47.150.86,100,50,TRUE,1/9/21 3:55,R_XMlTMVbM5A5USu5,,,,,53.75,-2.729507446,anonymous,EN,A moderate amount,Slightly demanding,All 5 problems,,I have never programmed before.,,,,,,,,5f4bdd0445dcf109c307b90d
1/9/21 3:52,1/9/21 3:55,IP Address,83.25.145.89,100,202,TRUE,1/9/21 3:55,R_a97YBePIBDaWwfv,,,,,53.12590027,18.00570679,anonymous,EN,A great deal,Moderately demanding,4 problems,"I have failed to optimize the commands in the last problem, so they weren't working when the number of stones or moves in line was getting shorter",I have programmed before.,1 (Very inexperienced),1,1,1,1,2,,5fc0c541c266bd597b286e98
1/9/21 3:55,1/9/21 3:57,IP Address,85.221.145.32,100,94,TRUE,1/9/21 3:57,R_Wpaqxe0FiiN8ef7,,,,,52.40519714,16.93389893,anonymous,EN,A lot,Moderately demanding,All 5 problems,I have solved all 5 problems.,I have programmed before.,2,2,1,1,1,3,"The activity was fun, thank you!",5de631043cf27959fe70269c
1/9/21 3:56,1/9/21 3:57,IP Address,81.99.11.126,100,45,TRUE,1/9/21 3:57,R_D2EVLxFOVQoTDX3,,,,,51.58929443,-2.993103027,anonymous,EN,A great deal,Slightly demanding,All 5 problems,,I have programmed before.,3,4 or more,1,2,3,1,,5ed1717c9654ab0b17be2ceb
1/9/21 3:56,1/9/21 3:57,IP Address,217.173.180.236,100,100,TRUE,1/9/21 3:57,R_1mK18LIelnIwrwN,,,,,53.01759338,18.62019348,anonymous,EN,A great deal,Moderately demanding,4 problems,I almost solved 5. I managed to get the last one but i ran out of time and turtle couldnt get to the point in time,I have programmed before.,2,1,2,1,1,2,,5fa2be9d820efd4e33eee9fc
1/9/21 3:59,1/9/21 3:59,IP Address,2.222.36.18,100,37,TRUE,1/9/21 3:59,R_2tieJXj7MSlTVDO,,,,,52.42140198,-1.567398071,anonymous,EN,A great deal,Very demanding,All 5 problems,,I have never programmed before.,,,,,,,,5fc8d1b43e9eb32a22d4da4d
1/9/21 3:56,1/9/21 4:00,IP Address,88.89.89.149,100,220,TRUE,1/9/21 4:00,R_1GDJmg9FJMtM41M,,,,,66.50790405,13.01269531,anonymous,EN,A great deal,Moderately demanding,4 problems,The last one i struggled with not because it was hard to understand how to do it but because without any experience in programming i had to try over a lot of times because the turtle got stuck. I think it was correct at the last try but the turtle didn't get all the way before the time ran out,I have never programmed before.,,,,,,,,5f9bdffe42555942fbc9ca49
1/9/21 4:02,1/9/21 4:03,IP Address,178.43.212.16,100,54,TRUE,1/9/21 4:03,R_2QS5jQsRdWnA6LH,,,,,51.10440063,17.01449585,anonymous,EN,A great deal,Moderately demanding,2 problems,,I have never programmed before.,,,,,,,,5b914a5f02a76000015c72d4
1/9/21 4:03,1/9/21 4:06,IP Address,46.177.125.53,100,151,TRUE,1/9/21 4:06,R_2rr2UDjiythn1Kt,,,,,37.98420715,23.73530579,anonymous,EN,A lot,Very demanding,3 problems,I was confused with the repetive commants,I have never programmed before.,,,,,,,Overall it was a nice experience but as I have never programmed before it saw a little bit confusing on builting new commants or repetitive. Maybe a little more explanation to this would be helpful.,5eedb69308f7161ee954279d
1/9/21 4:05,1/9/21 4:06,IP Address,176.92.52.24,100,75,TRUE,1/9/21 4:06,R_2CJ3XkdmnX96vN0,,,,,37.98420715,23.73530579,anonymous,EN,A great deal,Not demanding at all,All 5 problems,,I have programmed before.,3,2,3,1,4,1,,5dd5105a82569a4c04723f7e
1/9/21 4:05,1/9/21 4:09,IP Address,86.178.94.117,100,220,TRUE,1/9/21 4:09,R_1JJkKOtp7Myx6PD,,,,,51.52679443,-0.18699646,anonymous,EN,A great deal,Extremely demanding,3 problems,"I couldn't figure out how best to utilise the 'repeat' command for one task, and made a small error close to the end of completing the final task which made me run out of time.",I have never programmed before.,,,,,,,I really enjoyed this study and it has made me think more about programming.,5ec970f3e657d60c8e4db3a4
1/9/21 4:09,1/9/21 4:10,IP Address,85.136.129.73,100,81,TRUE,1/9/21 4:10,R_cvBY14jQpC0TmGB,,,,,37.76919556,-3.790298462,anonymous,EN,A great deal,Moderately demanding,4 problems,The animation takes so much time ,I have programmed before.,1 (Very inexperienced),1,1,1,1,1,,5e444fa46bcdba04dcf2d695
1/9/21 4:10,1/9/21 4:13,IP Address,79.54.161.174,100,163,TRUE,1/9/21 4:13,R_2fg2uqLy1fiY13U,,,,,45.46429443,9.189498901,anonymous,EN,A moderate amount,Moderately demanding,2 problems,"
I didn't know how to go on, and even if I managed to complete the figure I didn't do it in the required way, I would have liked more time for some of them",I have never programmed before.,,,,,,,N\A,5fdde74bfdb6e64c26da591a
1/9/21 4:22,1/9/21 4:24,IP Address,91.223.64.51,100,143,TRUE,1/9/21 4:24,R_3fpZmeEuPy4hye7,,,,,50.02130127,22.06700134,anonymous,EN,A lot,Moderately demanding,4 problems,It took me too long to understand my mistakes that I've been doing the whole time.,I have never programmed before.,,,,,,,,5f2ab8c4c46fc63609d8eedb
1/9/21 4:31,1/9/21 4:34,IP Address,178.235.185.156,100,153,TRUE,1/9/21 4:34,R_OlPuPaozPwcl4gF,,,,,51.40620422,21.14030457,anonymous,EN,A great deal,Moderately demanding,1 problem,too little time,I have never programmed before.,,,,,,,no,5bc2e0ec4f3bfd00012e97b5
1/9/21 4:51,1/9/21 4:52,IP Address,86.0.250.208,100,94,TRUE,1/9/21 4:52,R_3FVbjfJvCQhfa63,,,,,52.60490417,-1.148803711,anonymous,EN,A lot,Very demanding,3 problems,little bit of a confusion about how  to go about the algorithm,I have programmed before.,1 (Very inexperienced),3,4,3,1,2,,5daec370e4688e00142ca236
1/9/21 5:43,1/9/21 5:45,IP Address,89.151.36.184,100,85,TRUE,1/9/21 5:45,R_27pbXhRGgL9RYSL,,,,,51.10429382,17.03349304,anonymous,EN,A lot,Very demanding,1 problem,Not enough time to do the 5th one for me. I ran into a problem and the turtle was too slow in debug mode. Couldn't make any substantial changes. Also it didn't show which line of code was wrong.,I have programmed before.,2,0,1,1,2,1,,5eb8630fb9a7c17ac8c7d14b
1/10/21 2:41,1/10/21 2:49,IP Address,176.157.65.111,100,495,TRUE,1/10/21 2:49,R_SDXG9QO4X0yEv5v,,,,,43.6065979,5.755905151,anonymous,EN,A lot,Moderately demanding,3 problems,"I spent too much time running each programme several times as I was creating it, because I needed help visualising the results",I have never programmed before.,,,,,,,,5c7fb04093cdce00160adf49
1/10/21 2:51,1/10/21 2:55,IP Address,176.157.65.111,100,239,TRUE,1/10/21 2:55,R_2107ERKhhWqyWxk,,,,,43.6065979,5.755905151,anonymous,EN,A lot,Moderately demanding,3 problems,For the 4th problem I had trouble figuring out how to create efficient new commands. I completed the 5th one but still ran out of time as I did not take into account the time needed to check if the programme worked (I ran out of time in the middle of running the programme).,I have never programmed before.,,,,,,,,5cfd119645e1a20001883ee6
